sub,priming,qt,avg,story
sub-33,np,avg_soc,1.0,13
sub-34,loc,avg_loc,1.25,13
sub-34,loc,avg_soc,1.5,13
sub-35,loc,avg_loc,1.75,13
sub-35,loc,avg_soc,0.75,13
sub-36,np,avg_loc,0.75,13
sub-36,np,avg_soc,1.75,13
sub-01,loc,avg_loc,0.5,42
sub-01,loc,avg_soc,1.0,42
sub-02,np,avg_loc,0.0,42
sub-02,np,avg_soc,0.0,42
sub-03,np,avg_loc,0.0,42
sub-03,np,avg_soc,0.75,42
sub-04,loc,avg_loc,2.75,42
sub-04,loc,avg_soc,2.0,42
sub-05,loc,avg_loc,2.0,42
sub-05,loc,avg_soc,2.0,42
sub-06,np,avg_loc,0.0,42
sub-06,np,avg_soc,1.25,42
sub-07,loc,avg_loc,0.0,42
sub-07,loc,avg_soc,1.25,42
sub-08,loc,avg_loc,2.0,42
sub-08,loc,avg_soc,1.25,42
sub-09,soc,avg_loc,0.75,42
sub-09,soc,avg_soc,3.0,42
sub-10,soc,avg_loc,2.0,42
sub-10,soc,avg_soc,1.5,42
sub-12,soc,avg_loc,1.0,42
sub-12,soc,avg_soc,1.25,42
sub-13,np,avg_loc,0.0,42
sub-13,np,avg_soc,0.75,42
sub-14,loc,avg_loc,0.0,42
sub-14,loc,avg_soc,1.0,42
sub-17,soc,avg_loc,1.25,42
sub-17,soc,avg_soc,1.5,42
sub-18,soc,avg_loc,0.25,42
sub-18,soc,avg_soc,2.75,42
sub-19,np,avg_loc,0.0,42
sub-19,np,avg_soc,0.5,42
sub-21,soc,avg_loc,0.0,42
sub-21,soc,avg_soc,1.0,42
sub-22,np,avg_loc,0.5,42
sub-22,np,avg_soc,1.25,42
sub-23,loc,avg_loc,1.0,42
sub-23,loc,avg_soc,0.75,42
sub-24,np,avg_loc,0.0,42
sub-24,np,avg_soc,0.0,42
sub-26,soc,avg_loc,0.5,42
sub-26,soc,avg_soc,2.25,42
sub-28,loc,avg_loc,3.0,42
sub-28,loc,avg_soc,0.0,42
sub-29,np,avg_loc,0.0,42
sub-29,np,avg_soc,1.75,42
sub-30,loc,avg_loc,0.75,42
sub-30,loc,avg_soc,1.25,42
sub-31,np,avg_loc,0.0,42
sub-31,np,avg_soc,0.0,42
sub-34,soc,avg_loc,0.0,42
sub-34,soc,avg_soc,1.25,42
sub-38,soc,avg_loc,0.5,42
sub-38,soc,avg_soc,2.0,42
sub-02,soc,avg_loc,0.5,12
sub-02,soc,avg_soc,1.25,12
sub-03,soc,avg_loc,0.25,12
sub-03,soc,avg_soc,0.5,12
sub-06,soc,avg_loc,0.25,12
sub-06,soc,avg_soc,2.0,12
sub-08,loc,avg_loc,1.25,12
sub-08,loc,avg_soc,2.0,12
sub-09,np,avg_loc,0.75,12
sub-09,np,avg_soc,2.75,12
sub-10,np,avg_loc,0.25,12
sub-10,np,avg_soc,1.25,12
sub-12,np,avg_loc,0.0,12
sub-12,np,avg_soc,1.75,12
sub-13,np,avg_loc,0.5,12
sub-13,np,avg_soc,1.25,12
sub-16,loc,avg_loc,1.25,12
sub-16,loc,avg_soc,1.25,12
sub-17,soc,avg_loc,0.5,12
sub-17,soc,avg_soc,2.25,12
sub-18,np,avg_loc,0.25,12
sub-18,np,avg_soc,0.0,12
sub-19,soc,avg_loc,0.5,12
sub-19,soc,avg_soc,2.0,12
sub-20,loc,avg_loc,2.0,12
sub-20,loc,avg_soc,1.5,12
sub-21,np,avg_loc,0.5,12
sub-21,np,avg_soc,1.75,12
sub-22,np,avg_loc,0.75,12
sub-22,np,avg_soc,0.75,12
sub-24,soc,avg_loc,0.0,12
sub-24,soc,avg_soc,0.0,12
sub-26,soc,avg_loc,0.5,12
sub-26,soc,avg_soc,2.0,12
sub-28,loc,avg_loc,3.0,12
sub-28,loc,avg_soc,0.5,12
sub-29,np,avg_loc,1.5,12
sub-29,np,avg_soc,1.25,12
sub-30,loc,avg_loc,2.0,12
sub-30,loc,avg_soc,2.25,12
sub-31,soc,avg_loc,0.0,12
sub-31,soc,avg_soc,2.5,12
sub-32,loc,avg_loc,1.5,12
sub-32,loc,avg_soc,2.0,12
sub-33,loc,avg_loc,2.25,12
sub-33,loc,avg_soc,2.0,12
sub-34,np,avg_loc,1.75,12
sub-34,np,avg_soc,2.25,12
sub-35,loc,avg_loc,1.25,12
sub-35,loc,avg_soc,0.25,12
sub-36,loc,avg_loc,0.25,12
sub-36,loc,avg_soc,2.0,12
sub-38,soc,avg_loc,0.5,12
sub-38,soc,avg_soc,1.75,12
sub-01,loc,avg_loc,0.75,32
sub-01,loc,avg_soc,0.25,32
sub-02,np,avg_loc,0.5,32
sub-02,np,avg_soc,1.0,32
sub-03,np,avg_loc,0.0,32
sub-03,np,avg_soc,1.0,32
sub-04,loc,avg_loc,0.0,32
sub-04,loc,avg_soc,0.0,32
sub-05,loc,avg_loc,0.75,32
sub-05,loc,avg_soc,1.75,32
sub-06,np,avg_loc,1.25,32
sub-06,np,avg_soc,0.75,32
sub-09,soc,avg_loc,0.0,32
sub-09,soc,avg_soc,2.5,32
sub-10,np,avg_loc,0.75,32
sub-10,np,avg_soc,0.0,32
sub-12,soc,avg_loc,0.0,32
sub-12,soc,avg_soc,2.75,32
sub-13,soc,avg_loc,0.75,32
sub-13,soc,avg_soc,2.5,32
sub-17,np,avg_loc,2.0,32
sub-17,np,avg_soc,2.0,32
sub-18,np,avg_loc,0.75,32
sub-18,np,avg_soc,2.0,32
sub-19,soc,avg_loc,0.0,32
sub-19,soc,avg_soc,0.5,32
sub-21,soc,avg_loc,0.5,32
sub-21,soc,avg_soc,1.5,32
sub-22,soc,avg_loc,1.5,32
sub-22,soc,avg_soc,1.75,32
sub-24,soc,avg_loc,1.5,32
sub-24,soc,avg_soc,0.75,32
sub-25,loc,avg_loc,0.75,32
sub-25,loc,avg_soc,0.75,32
sub-26,np,avg_loc,0.0,32
sub-26,np,avg_soc,0.0,32
sub-27,loc,avg_loc,0.75,32
sub-27,loc,avg_soc,1.0,32
sub-29,soc,avg_loc,0.75,32
sub-29,soc,avg_soc,2.25,32
sub-31,soc,avg_loc,0.0,32
sub-31,soc,avg_soc,0.0,32
sub-32,loc,avg_loc,2.0,32
sub-32,loc,avg_soc,0.75,32
sub-33,loc,avg_loc,1.5,32
sub-33,loc,avg_soc,0.0,32
sub-34,np,avg_loc,0.0,32
sub-34,np,avg_soc,0.0,32
sub-35,loc,avg_loc,0.0,32
sub-35,loc,avg_soc,0.0,32
sub-37,loc,avg_loc,2.25,32
sub-37,loc,avg_soc,1.25,32
sub-38,np,avg_loc,0.75,32
sub-38,np,avg_soc,2.75,32
sub-02,soc,avg_loc,0.0,22
sub-02,soc,avg_soc,1.5,22
sub-03,soc,avg_loc,0.25,22
sub-03,soc,avg_soc,1.25,22
sub-06,soc,avg_loc,0.25,22
sub-06,soc,avg_soc,2.0,22
sub-07,loc,avg_loc,0.75,22
sub-07,loc,avg_soc,1.0,22
sub-09,np,avg_loc,0.0,22
sub-09,np,avg_soc,2.5,22
sub-10,soc,avg_loc,0.25,22
sub-10,soc,avg_soc,1.75,22
sub-12,np,avg_loc,0.0,22
sub-12,np,avg_soc,0.25,22
sub-13,soc,avg_loc,0.5,22
sub-13,soc,avg_soc,2.25,22
sub-14,loc,avg_loc,0.0,22
sub-14,loc,avg_soc,0.5,22
sub-16,loc,avg_loc,0.75,22
sub-16,loc,avg_soc,0.75,22
sub-17,np,avg_loc,0.75,22
sub-17,np,avg_soc,2.0,22
sub-18,soc,avg_loc,0.0,22
sub-18,soc,avg_soc,2.0,22
sub-19,np,avg_loc,0.0,22
sub-19,np,avg_soc,0.0,22
sub-20,loc,avg_loc,2.25,22
sub-20,loc,avg_soc,0.75,22
sub-21,np,avg_loc,0.0,22
sub-21,np,avg_soc,0.25,22
sub-22,soc,avg_loc,1.5,22
sub-22,soc,avg_soc,0.75,22
sub-23,loc,avg_loc,0.0,22
sub-23,loc,avg_soc,0.0,22
sub-24,np,avg_loc,0.5,22
sub-24,np,avg_soc,0.0,22
sub-25,loc,avg_loc,0.75,22
sub-25,loc,avg_soc,0.75,22
sub-26,np,avg_loc,0.0,22
sub-26,np,avg_soc,0.25,22
sub-27,loc,avg_loc,0.75,22
sub-27,loc,avg_soc,1.0,22
sub-29,soc,avg_loc,0.75,22
sub-29,soc,avg_soc,2.5,22
sub-31,np,avg_loc,0.0,22
sub-31,np,avg_soc,2.25,22
sub-34,soc,avg_loc,0.75,22
sub-34,soc,avg_soc,0.5,22
sub-36,loc,avg_loc,0.0,22
sub-36,loc,avg_soc,0.25,22
sub-37,loc,avg_loc,0.5,22
sub-37,loc,avg_soc,0.0,22
sub-38,np,avg_loc,0.0,22
sub-38,np,avg_soc,2.0,22
sub-01,soc,avg_loc,0.75,24
sub-01,soc,avg_soc,1.0,24
sub-02,soc,avg_loc,0.75,24
sub-02,soc,avg_soc,2.25,24
sub-04,soc,avg_loc,1.5,24
sub-04,soc,avg_soc,1.5,24
sub-07,np,avg_loc,0.75,24
sub-07,np,avg_soc,0.0,24
sub-08,soc,avg_loc,1.5,24
sub-08,soc,avg_soc,3.0,24
sub-09,np,avg_loc,0.75,24
sub-09,np,avg_soc,1.5,24
sub-12,loc,avg_loc,0.0,24
sub-12,loc,avg_soc,1.5,24
sub-14,loc,avg_loc,1.5,24
sub-14,loc,avg_soc,1.25,24
sub-16,loc,avg_loc,0.5,24
sub-16,loc,avg_soc,0.75,24
sub-17,np,avg_loc,2.25,24
sub-17,np,avg_soc,1.0,24
sub-19,loc,avg_loc,0.75,24
sub-19,loc,avg_soc,1.5,24
sub-20,np,avg_loc,1.25,24
sub-20,np,avg_soc,0.75,24
sub-21,loc,avg_loc,1.25,24
sub-21,loc,avg_soc,2.75,24
sub-22,soc,avg_loc,1.25,24
sub-22,soc,avg_soc,1.5,24
sub-23,np,avg_loc,0.5,24
sub-23,np,avg_soc,0.0,24
sub-24,loc,avg_loc,0.75,24
sub-24,loc,avg_soc,0.0,24
sub-25,np,avg_loc,1.25,24
sub-25,np,avg_soc,1.5,24
sub-26,loc,avg_loc,1.5,24
sub-26,loc,avg_soc,3.0,24
sub-27,loc,avg_loc,0.75,24
sub-27,loc,avg_soc,1.75,24
sub-28,soc,avg_loc,0.5,24
sub-28,soc,avg_soc,2.25,24
sub-31,np,avg_loc,1.5,24
sub-31,np,avg_soc,0.5,24
sub-33,soc,avg_loc,0.75,24
sub-33,soc,avg_soc,2.25,24
sub-34,soc,avg_loc,1.25,24
sub-34,soc,avg_soc,1.5,24
sub-35,soc,avg_loc,0.75,24
sub-35,soc,avg_soc,1.5,24
sub-36,np,avg_loc,1.0,24
sub-36,np,avg_soc,0.75,24
sub-37,np,avg_loc,1.75,24
sub-37,np,avg_soc,0.5,24
sub-38,loc,avg_loc,1.25,24
sub-38,loc,avg_soc,0.75,24
sub-01,np,avg_loc,0.5,34
sub-01,np,avg_soc,0.5,34
sub-02,np,avg_loc,0.25,34
sub-02,np,avg_soc,1.0,34
sub-03,loc,avg_loc,1.5,34
sub-03,loc,avg_soc,1.0,34
